Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.0,1.24,0.0,1.04,0.0,1.18,0.0,1.23,0.0,1.21,0.0,1.04,0.0,1.16,0.0,1.0,0.0,0.98,0.0,0.93
0.02,1.24,0.02,1.04,0.02,1.18,0.02,1.23,0.02,1.21,0.02,1.04,0.02,1.15,0.02,1.0,0.02,0.98,0.02,0.93
0.04,1.24,0.04,1.04,0.04,1.18,0.04,1.23,0.04,1.21,0.04,1.04,0.04,1.15,0.04,1.0,0.04,0.98,0.04,0.92
0.06,1.24,0.06,1.04,0.06,1.18,0.06,1.23,0.06,1.21,0.06,1.03,0.06,1.15,0.06,1.01,0.06,0.98,0.06,0.92
0.08,1.24,0.08,1.04,0.08,1.18,0.08,1.23,0.08,1.21,0.08,1.03,0.08,1.15,0.08,1.01,0.08,0.98,0.08,0.92
0.1,1.24,0.1,1.03,0.1,1.18,0.1,1.23,0.1,1.21,0.1,1.03,0.1,1.15,0.1,1.01,0.1,0.98,0.1,0.92
0.12,1.24,0.12,1.03,0.12,1.18,0.12,1.23,0.12,1.21,0.12,1.03,0.12,1.17,0.12,1.01,0.12,0.98,0.12,0.92
0.14,1.24,0.14,1.03,0.14,1.18,0.14,1.23,0.14,1.21,0.14,1.03,0.14,1.16,0.14,1.01,0.14,0.98,0.14,0.92
0.16,1.24,0.16,1.03,0.16,1.18,0.16,1.23,0.16,1.21,0.16,1.03,0.16,1.16,0.16,1.01,0.16,0.98,0.16,0.92
0.18,1.25,0.18,1.03,0.18,1.18,0.18,1.23,0.18,1.21,0.18,1.04,0.18,1.16,0.18,1.01,0.18,0.98,0.18,0.92
0.2,1.25,0.2,1.03,0.2,1.18,0.2,1.23,0.2,1.21,0.2,1.04,0.2,1.16,0.2,1.01,0.2,0.98,0.2,0.92
0.22,1.24,0.22,1.03,0.22,1.18,0.22,1.23,0.22,1.21,0.22,1.03,0.22,1.16,0.22,1.01,0.22,0.98,0.22,0.92
0.24,1.24,0.24,1.03,0.24,1.18,0.24,1.23,0.24,1.21,0.24,1.03,0.24,1.15,0.24,1.01,0.24,0.98,0.24,0.92
0.26,1.24,0.26,1.03,0.26,1.18,0.26,1.23,0.26,1.21,0.26,1.03,0.26,1.15,0.26,1.01,0.26,0.98,0.26,0.92
0.28,1.24,0.28,1.04,0.28,1.18,0.28,1.23,0.28,1.21,0.28,1.03,0.28,1.15,0.28,1.01,0.28,0.98,0.28,0.92
0.3,1.24,0.3,1.03,0.3,1.18,0.3,1.23,0.3,1.21,0.3,1.03,0.3,1.15,0.3,1.01,0.3,0.98,0.3,0.92
0.32,1.24,0.32,1.03,0.32,1.18,0.32,1.22,0.32,1.21,0.32,1.03,0.32,1.15,0.32,1.0,0.32,0.98,0.32,0.92
0.34,1.24,0.34,1.03,0.34,1.18,0.34,1.22,0.34,1.21,0.34,1.03,0.34,1.15,0.34,0.99,0.34,0.98,0.34,0.91
0.36,1.24,0.36,1.03,0.36,1.18,0.36,1.22,0.36,1.21,0.36,1.03,0.36,1.15,0.36,0.98,0.36,0.98,0.36,0.91
0.38,1.25,0.38,1.03,0.38,1.18,0.38,1.22,0.38,1.21,0.38,1.04,0.38,1.15,0.38,0.97,0.38,0.98,0.38,0.9
0.4,1.25,0.4,1.02,0.4,1.18,0.4,1.22,0.4,1.21,0.4,1.04,0.4,1.18,0.4,0.96,0.4,0.98,0.4,0.9
0.42,1.24,0.42,1.03,0.42,1.18,0.42,1.22,0.42,1.21,0.42,1.04,0.42,1.19,0.42,0.98,0.42,0.98,0.42,0.88
0.44,1.24,0.44,1.01,0.44,1.26,0.44,1.22,0.44,1.21,0.44,1.03,0.44,1.18,0.44,0.96,0.44,0.98,0.44,0.87
