"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,1.25,,,0.000,1.10,,,0.000,1.10,,,0.000,1.10,,,0.000,1.07,,,0.000,1.03,,,0.000,1.14,,,0.000,1.05,,,0.000,1.10,,,0.000,1.08,,
0.050,1.25,0.09,,0.050,1.10,0.07,,0.050,1.08,-0.26,,0.050,1.10,0.00,,0.050,1.07,-0.06,,0.050,1.03,0.03,,0.050,1.14,0.00,,0.050,1.06,0.00,,0.050,1.10,-0.08,,0.050,1.08,0.04,
0.100,1.25,0.07,-0.54,0.100,1.11,-0.02,-1.57,0.100,1.07,-0.26,-1.66,0.100,1.10,-0.01,-0.24,0.100,1.07,-0.03,-0.11,0.100,1.04,-0.15,-2.44,0.100,1.14,0.04,0.40,0.100,1.05,0.03,-0.11,0.100,1.09,-0.06,0.26,0.100,1.08,0.02,-0.25
0.150,1.26,0.04,-0.49,0.150,1.10,-0.08,-1.45,0.150,1.06,-0.42,-3.15,0.150,1.10,-0.03,-0.82,0.150,1.07,-0.07,-1.27,0.150,1.02,-0.21,-1.29,0.150,1.14,0.04,-0.58,0.150,1.06,-0.01,-1.05,0.150,1.09,-0.05,-0.16,0.150,1.08,0.01,-0.10
0.200,1.26,0.01,-0.33,0.200,1.09,-0.16,-1.13,0.200,1.04,-0.65,-3.49,0.200,1.10,-0.09,-1.20,0.200,1.07,-0.18,-1.82,0.200,1.01,-0.21,-1.56,0.200,1.15,-0.02,-1.17,0.200,1.06,-0.09,-1.46,0.200,1.09,-0.04,-0.83,0.200,1.08,0.02,-0.15
0.250,1.26,0.01,-0.29,0.250,1.09,-0.22,-0.60,0.250,0.98,-0.82,-2.67,0.250,1.09,-0.17,-1.24,0.250,1.05,-0.30,-1.50,0.250,1.00,-0.30,-2.84,0.250,1.14,-0.12,-1.27,0.250,1.05,-0.20,-1.00,0.250,1.08,-0.14,-1.47,0.250,1.08,0.01,-0.35
0.300,1.26,0.00,-0.54,0.300,1.07,-0.23,-0.19,0.300,0.95,-0.91,-1.46,0.300,1.08,-0.23,-0.90,0.300,1.03,-0.35,-0.93,0.300,0.99,-0.53,-3.47,0.300,1.13,-0.16,-1.33,0.300,1.04,-0.23,-0.54,0.300,1.08,-0.22,-1.66,0.300,1.09,-0.02,-0.55
0.350,1.26,-0.04,-0.95,0.350,1.06,-0.20,-0.77,0.350,0.90,-0.95,-0.58,0.350,1.07,-0.26,-0.66,0.350,1.01,-0.34,-1.08,0.350,0.94,-0.74,-2.69,0.350,1.12,-0.21,-1.82,0.350,1.02,-0.17,-1.21,0.350,1.05,-0.32,-1.33,0.350,1.08,-0.05,-0.53
0.400,1.26,-0.10,-0.97,0.400,1.06,-0.24,-2.21,0.400,0.85,-0.95,-0.42,0.400,1.05,-0.27,-1.04,0.400,1.00,-0.41,-1.97,0.400,0.90,-0.81,-1.46,0.400,1.12,-0.33,-2.59,0.400,1.02,-0.28,-2.80,0.400,1.06,-0.36,-1.24,0.400,1.08,-0.08,-0.62
0.450,1.25,-0.17,-0.72,0.450,1.04,-0.44,-3.32,0.450,0.80,-0.96,-0.77,0.450,1.04,-0.33,-2.06,0.450,0.98,-0.56,-2.66,0.450,0.87,-0.83,-0.86,0.450,1.09,-0.49,-2.76,0.450,1.02,-0.51,-3.69,0.450,1.02,-0.40,-1.57,0.450,1.07,-0.09,-1.16
0.500,1.24,-0.16,-1.00,0.500,1.01,-0.65,-3.16,0.500,0.76,-1.04,-0.97,0.500,1.03,-0.47,-3.05,0.500,0.94,-0.72,-2.41,0.500,0.82,-0.88,-0.81,0.500,1.06,-0.65,-2.24,0.500,0.96,-0.73,-2.87,0.500,1.01,-0.51,-2.34,0.500,1.07,-0.17,-2.02
0.550,1.23,-0.20,-2.27,0.550,0.97,-0.78,-2.05,0.550,0.70,-1.10,-0.57,0.550,1.00,-0.67,-3.19,0.550,0.90,-0.83,-1.60,0.550,0.78,-0.93,-0.80,0.550,1.03,-0.72,-1.49,0.550,0.93,-0.83,-1.48,0.550,0.98,-0.64,-2.62,0.550,1.06,-0.31,-2.37
